player_id,player_name,position,nfl_year,season,week,game_date,home_or_away,opponent,outcome,score,games_played,games_started,receptions,receiving_yards,yards_per_reception,longest_reception,receiving_tds,rushing_attempts,rushing_yards,yards_per_carry,longest_rushing_run,rushing_tds,fumbles,fumbles_lost
garryjames/2517372,"James, Garry",,1986,Regular Season,2,14-Sep,Home,DAL,L,7 to 31,1,--,8,42,5.3,20,0,1,0,0,0,0,--,--
garryjames/2517372,"James, Garry",,1986,Regular Season,3,21-Sep,Home,TB,L,20 to 24,1,--,1,6,6,6,0,1,7,7,7,0,--,--
garryjames/2517372,"James, Garry",,1986,Regular Season,4,28-Sep,Away,CLE,L,21 to 24,1,--,4,10,2.5,10,0,6,34,5.7,11,0,--,--
garryjames/2517372,"James, Garry",,1986,Regular Season,5,5-Oct,Home,HOU,W,24 to 13,1,--,9,40,4.4,9,0,1,7,7,7,0,--,--
garryjames/2517372,"James, Garry",,1986,Regular Season,6,12-Oct,Away,GB,W,21 to 14,1,--,20,140,7,41T,1,--,--,--,--,--,--,--
garryjames/2517372,"James, Garry",,1986,Regular Season,7,19-Oct,Away,RAM,L,10 to 14,1,--,12,28,2.3,12,0,3,42,14,26,0,--,--
garryjames/2517372,"James, Garry",,1986,Regular Season,8,26-Oct,Away,CHI,L,7 to 13,1,--,8,31,3.9,15,0,1,6,6,6,0,--,--
garryjames/2517372,"James, Garry",,1986,Regular Season,9,2-Nov,Home,CIN,L,17 to 24,1,--,11,46,4.2,17,0,3,37,12.3,22,0,--,--
garryjames/2517372,"James, Garry",,1986,Regular Season,10,9-Nov,Home,MIN,L,10 to 24,1,--,11,46,4.2,12,0,6,33,5.5,15,0,--,--
garryjames/2517372,"James, Garry",,1986,Regular Season,11,16-Nov,Away,PHI,W,13 to 11,1,--,2,-5,-2.5,0,0,--,--,--,--,--,--,--
garryjames/2517372,"James, Garry",,1986,Regular Season,12,23-Nov,Away,TB,W,38 to 17,1,--,10,45,4.5,13T,1,3,14,4.7,8,0,--,--
garryjames/2517372,"James, Garry",,1986,Regular Season,13,27-Nov,Home,GB,L,40 to 44,1,--,19,71,3.7,22,0,4,16,4,6,0,--,--
garryjames/2517372,"James, Garry",,1986,Regular Season,14,7-Dec,Away,PIT,L,17 to 27,1,--,9,84,9.3,60T,1,2,5,2.5,3,0,--,--
garryjames/2517372,"James, Garry",,1986,Regular Season,15,15-Dec,Home,CHI,L,13 to 16,1,--,12,32,2.7,11,0,1,7,7,7,0,--,--
garryjames/2517372,"James, Garry",,1986,Regular Season,16,21-Dec,Home,ATL,L,6 to 20,1,--,11,35,3.2,6,0,2,11,5.5,16,0,--,--
